OID_,Id,gridcode,Shape_Length,Shape_Area,area
316,145573,30,18.864778369438554,17.117382239529391,184
317,145574,30,18.864778369438554,17.117382239529391,184
318,145646,30,28.295437062885888,34.138494269237619,367
319,145735,70,391.663282374838843,1850.032084648850287,19913
320,145815,30,18.748986063792756,16.009500001091510,172
321,145816,70,355.196763141890017,2099.578212113963673,22600
322,145817,30,28.001762938802671,38.712674776143359,417
323,145818,70,18.748986063792756,16.009500001091510,172
324,145883,70,28.001762938802671,38.712674776143359,417
325,145967,70,18.864778369438554,17.117382239529391,184
326,146048,70,18.748986062057647,16.009499998763204,172
327,146054,40,12.091957227537273,6.668587898886968,72
328,146123,30,25.873419534935174,30.205372542720930,325
329,146128,70,102.041710496730985,526.078327155756824,5663
330,146229,40,13.352745977013992,7.647297960067001,82
331,146230,30,18.864778369438554,17.117382239529391,184
332,146310,30,28.295437062885888,34.138494269237619,367
333,146311,40,13.149428103863485,7.416185058707837,80
334,146312,30,18.748986062057647,16.009499998763204,172
335,146732,30,18.748986062057647,16.009499998763204,172
336,146818,70,84.276786714911196,234.026731060843304,2519
337,147156,70,227.730917982302458,450.898683219686973,4853
338,147158,70,43.834714044022100,84.396905161277985,908
339,147383,70,35.501860380336012,59.227484348545026,638
340,147532,40,35.478222748547019,59.039689067468316,635
341,147827,30,12.988831033455453,6.304837975778881,68
342,147831,70,1225.755088168596785,11034.962603565216341,118779
343,147979,30,9.650623756165679,3.780626265280594,41
344,147983,70,36.984647378129623,28.249072091750435,304
345,148318,30,14.663707613569365,8.996868398424645,97
346,148493,30,13.602515435033409,8.889387671677285,96
347,148976,30,24.713459937252260,16.105282181044952,173
348,149113,30,7.678979209856660,3.060166530188033,33
349,149477,30,13.548188249968803,8.794181951406573,95
350,149622,20,12.319640982159246,6.877304873449735,74
351,149624,40,24.768312501325674,15.083526511891144,162
352,149767,30,18.864778369438554,17.117382239529391,184
353,149900,30,8.678614126930341,2.763599923954938,30
354,149966,20,18.748986063792756,16.009500001091510,172
355,149967,30,12.199277291497282,6.781027824694242,73
356,150259,70,6.183720485668816,1.496462764121980,16
357,150537,70,18.864778370033939,17.117507877256418,184
358,150773,20,64.911859032424132,207.372304449495459,2232
359,150850,20,9.227475108580828,3.232672640947536,35
360,151005,70,258.761984622214072,1843.664848363650663,19845
361,151008,40,30.616227923985889,42.599341979297741,459
362,151077,20,26.713893836195922,17.686934531934007,190
363,151139,30,13.951795868654376,3.525496563152108,38
364,151142,40,17.331950304848053,14.102612820391977,152
365,151443,20,33.026263296971038,67.002317818606457,721
366,151506,30,18.864778369438554,17.117382239529391,184
367,151569,30,8.662958396536808,3.057322933994668,33
368,151641,20,28.295437064490169,34.138239727089129,367
369,151721,20,20.000000000000000,25.000000000000000,269
370,151791,70,580.415075966533664,4837.733057021672721,52073
371,151792,30,68.903756353793511,255.482059662452713,2750
372,151869,20,7.161594034616362,0.928981597030136,10
373,151870,70,18.864778369438554,17.117382239529391,184
374,151950,20,18.864778369438554,17.117382239529391,184
375,152020,70,18.864778369438554,17.117382239529391,184
376,152021,70,42.658659532809587,80.904903347332905,871
377,152022,30,18.748986063792756,16.009500001091510,172
378,152023,70,35.195126007177507,65.023257546018897,700
379,152025,20,18.864778369438554,17.117382239529391,184
380,152105,20,18.748986062057647,16.009499998763204,172
381,152180,40,28.293658912230317,34.133970126486382,367
382,152184,70,1206.426205599085506,17254.365884486069262,185724
383,152395,70,28.369189083747806,33.746382493761779,363
384,152484,40,24.214923913841243,32.712692510606445,352
385,152485,70,310.663788137997642,1759.702463893917411,18941
386,152547,30,11.847035674079141,4.458273430551788,48
387,152548,30,28.295437062885888,34.138494269237626,367
388,152628,70,588.021507241651761,3862.617488378920825,41577
389,152629,30,28.369189083747806,33.746382493761779,363
390,152630,30,15.204301796539349,10.383609529823547,112
391,152708,70,28.295437062885888,34.138494269237619,367
392,152709,30,18.864778369438554,17.117382239529391,184
393,152710,70,62.113530638240022,200.987237195830858,2163
394,152711,70,19.104173641702467,16.940250000916421,182
395,152804,30,12.774719516305758,4.172794570839726,45
396,152805,70,20.000000000000000,25.000000000000000,269
397,152806,30,5.898965763094519,1.805674140037148,19
398,152972,70,12.416500011868841,6.443594207033999,69
399,152974,30,28.102540381315290,36.347405220375464,391
400,153057,70,45.866539522262649,93.940110476238431,1011
401,153058,70,18.864778369438554,17.117382239529391,184
402,153150,70,35.049986346691256,69.362399296571525,747
403,153311,30,28.369189083747806,33.746382493761779,363
404,153381,70,5.049619659234210,1.179097825842227,13
405,153382,30,18.864778369438554,17.117382239529391,184
406,153385,30,3.521405804014623,0.584303745254100,6
407,153459,70,18.864778369438554,17.117382239529391,184
408,153460,30,35.362587161415078,58.668581802016348,632
409,153532,70,18.864778369438554,17.117382239529391,184
410,153615,30,30.000000000000000,50.000000000000000,538
411,153616,20,18.748986063792756,16.009500001091510,172
412,153684,30,20.000000000000000,25.000000000000000,269
413,153775,30,18.864778369438554,17.117382239529391,184
414,153929,20,18.748986063792756,16.009500001091510,172
415,153932,70,26.190262577353899,31.960423257483015,344
416,153996,70,52.495209972138582,127.891679729865103,1377
417,154292,30,26.204274345905439,31.772824826798374,342
418,154447,30,14.303006529854214,7.636712759683491,82
419,154448,70,18.864778369438554,17.117382239529391,184
420,154449,30,18.864778369438554,17.117382239529391,184
421,154512,70,277.812633401349274,1720.998145777878108,18525
422,154657,70,75.517450174558249,280.134719002242605,3015
423,154728,30,20.000000000000000,25.000000000000000,269
424,154812,40,157.572794870991345,629.817833695326385,6779
425,154880,30,7.307898093449577,2.494692978789429,27
426,154938,70,22.279457152126970,32.167396573812894,346
427,154939,20,17.615778867332033,18.746511978935217,202
428,154940,40,5.224246967909095,0.698057500232030,8
429,154941,30,51.035044619851000,135.514779116328555,1459
430,155014,70,2.971745076029666,0.342613634911999,4
431,155068,30,69.321105212630130,173.019732965162575,1862
432,155070,30,8.515247719192768,1.393798811052340,15
433,155136,30,35.319920760224811,57.918044595245128,623
434,155137,30,15.802326414134473,10.038500585162623,108
435,155275,30,20.000000000000000,25.000000000000000,269
436,155355,30,18.864778369438554,17.117382239529391,184
437,155356,70,35.209820632260509,64.258485528737438,692
438,155357,30,10.204053589972384,4.135339837344494,45
439,155440,70,16.640950309005017,1.634966605799237,18
440,155533,30,18.864778369438554,17.117382239529391,184
441,155536,30,13.352368636968162,7.530977778191239,81
442,155608,70,846.792170687532575,5128.804422764867013,55206
443,155690,70,34.883969459418125,66.405999995768070,715
444,155841,30,36.454035293183850,63.367974215818165,682
445,155921,30,46.180339887498945,125.000000000000000,1345
446,155999,70,30.000000000000000,50.000000000000000,538
447,156163,30,30.000000000000000,50.000000000000000,538
448,156164,70,40.783625540963257,64.053021632819949,689
449,156252,30,18.864778369473189,17.117349670866879,184
450,156342,70,38.645760610082291,80.933004898601823,871
451,156422,30,10.708348176925414,4.800918419154782,52
452,157198,30,0.246909447465156,0.001786149996158,0
453,157199,20,50.309256357296249,105.393137579413548,1134
454,157750,70,134.934841095791683,281.071672288676552,3025
455,157835,70,28.295437062885888,34.138494269237619,367
456,158583,70,40.883579561659623,91.904975740246016,989
457,159650,40,5560.735562564716020,78239.010076893784571,842154
458,159991,70,719.448808972057464,2527.997838722687447,27211
459,317607,20,16931.928369575500255,111881.722086859357660,1204280
